wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),bandwidth (nm)
244.3,0.06179474947675824,8.033316698856652E-4,1.0
244.4,0.061135229355858564,7.94757972471416E-4,1.0
244.5,0.06013119304370999,7.817054865881801E-4,1.0
244.6,0.05883051554287791,7.64796684961766E-4,1.0
244.7,0.05731799715005994,7.451339042745531E-4,1.0
244.8,0.05570079714687467,7.241103448905051E-4,1.0
244.9,0.054091309894520045,7.031869608908892E-4,1.0
245.0,0.05259182924760104,6.836937391199172E-4,1.0
245.1,0.05128193041384578,6.666650879196823E-4,1.0
245.2,0.05021017774790168,6.52732269372791E-4,1.0
245.3,0.04939052813177705,6.420768331736326E-4,1.0
245.4,0.04880384954754353,6.344499997794628E-4,1.0
245.5,0.048404404983150955,6.292572361417115E-4,1.0
245.6,0.048130732206591365,6.256995256990194E-4,1.0
245.7,0.04791935088266015,6.229515420272946E-4,1.0
245.8,0.04771942878826618,6.203525699675083E-4,1.0
245.9,0.04750474057246327,6.175616290420294E-4,1.0
246.0,0.04727990189701795,6.146386731415987E-4,1.0
246.1,0.04707882089187741,6.120246252976358E-4,1.0
246.2,0.04695540688797712,6.104202475398779E-4,1.0
246.3,0.046968544539974934,6.105910870246589E-4,1.0
246.4,0.04716523966737628,6.131480913609266E-4,1.0
246.5,0.047567821283272506,6.183816585689783E-4,1.0
246.6,0.04816824694670677,6.261871894821525E-4,1.0
246.7,0.04892998099733233,6.360897095873952E-4,1.0
246.8,0.04979646659259439,6.473540561273694E-4,1.0
246.9,0.05070195552884459,6.591253913938999E-4,1.0
247.0,0.05158138895451665,6.70558016281575E-4,1.0
247.1,0.052375402665678264,6.808802136220038E-4,1.0
247.2,0.053030736721036434,6.893995450809598E-4,1.0
247.3,0.05349834721666932,6.954785203561187E-4,1.0
247.4,0.05373275689638376,6.985258078202605E-4,1.0
247.5,0.05369419314223051,6.980245234444737E-4,1.0
247.6,0.05335524172068715,6.936181453056633E-4,1.0
247.7,0.05270897913910389,6.85216742567718E-4,1.0
247.8,0.05177518680505156,6.730774184688926E-4,1.0
247.9,0.050601769692925215,6.578229949809611E-4,1.0
248.0,0.04925924152728796,6.403701263479888E-4,1.0
248.1,0.047830184689443105,6.217923946678638E-4,1.0
248.2,0.04639688184239745,6.031594821251929E-4,1.0
248.3,0.04503135529280662,5.854076007381082E-4,1.0
248.4,0.04379224992069126,5.692992126569152E-4,1.0
248.5,0.04272851971448422,5.554707604460418E-4,1.0
248.6,0.04188866908517361,5.445526912808418E-4,1.0
248.7,0.04133053367337942,5.372969317249954E-4,1.0
248.8,0.041125226640257834,5.346279358491302E-4,1.0
248.9,0.04135089453632355,5.375616019591689E-4,1.0
249.0,0.04207495399707556,5.469743628054857E-4,1.0
249.1,0.04332930503987431,5.63280947972089E-4,1.0
249.2,0.045087802238652705,5.861413665115833E-4,1.0
249.3,0.0472545457291317,6.143091013655066E-4,1.0
249.4,0.04966974569682241,6.457067211158574E-4,1.0
249.5,0.052133230282083755,6.777319358661771E-4,1.0
249.6,0.05443840366311908,7.076992187649012E-4,1.0
249.7,0.0564086518383944,7.33312452211976E-4,1.0
249.8,0.057924417179424766,7.530174334533513E-4,1.0
249.9,0.0589357066743493,7.661641575396061E-4,1.0
250.0,0.05945843536471367,7.729596691206098E-4,1.0
